Project,Package,Module,Smell,Class,Line no,File,Description
group02,group02.backend.models,base_model,Wide hierarchy,BaseModel,0,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\models\base_model.py,Class 'BaseModel' has a wide hierarchy with 8 direct subclasses.
group02,group02.backend.models,user,Multifaceted abstraction,User,11,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\models\user.py,"Class 'User' has a high LCOM value of 1, indicating it may have multiple responsibilities."
group02,group02.backend.routes,answer_routes,Multifaceted abstraction,answer_routes,1,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\answer_routes.py,"Class 'answer_routes' has a high LCOM value of 1, indicating it may have multiple responsibilities."
group02,group02.backend.routes,answer_routes,Feature envy,answer_routes,58,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\answer_routes.py,Function 'get_answer_count' in module 'answer_routes' seems to access code elements that are outside of the module more than its internal to module members. It seems the method is more suitable in `answer_services`.
group02,group02.backend.routes,answer_routes,Feature envy,answer_routes,80,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\answer_routes.py,Function 'create_answer' in module 'answer_routes' seems to access code elements that are outside of the module more than its internal to module members. It seems the method is more suitable in `answer_services`.
group02,group02.backend.routes,comment_routes,Multifaceted abstraction,comment_routes,1,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\comment_routes.py,"Class 'comment_routes' has a high LCOM value of 1, indicating it may have multiple responsibilities."
group02,group02.backend.routes,login_routes,Multifaceted abstraction,login_routes,1,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\login_routes.py,"Class 'login_routes' has a high LCOM value of 1, indicating it may have multiple responsibilities."
group02,group02.backend.routes,login_routes,Feature envy,login_routes,17,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\login_routes.py,Function 'login' in module 'login_routes' seems to access code elements that are outside of the module more than its internal to module members. It seems the method is more suitable in `user_login`.
group02,group02.backend.routes,question_routes,Multifaceted abstraction,question_routes,1,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\question_routes.py,"Class 'question_routes' has a high LCOM value of 1, indicating it may have multiple responsibilities."
group02,group02.backend.routes,registration_routes,Multifaceted abstraction,registration_routes,1,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\registration_routes.py,"Class 'registration_routes' has a high LCOM value of 1, indicating it may have multiple responsibilities."
group02,group02.backend.routes,tag_routes,Multifaceted abstraction,tag_routes,1,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\tag_routes.py,"Class 'tag_routes' has a high LCOM value of 1, indicating it may have multiple responsibilities."
group02,group02.backend.routes,user_routes,Multifaceted abstraction,user_routes,1,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\user_routes.py,"Class 'user_routes' has a high LCOM value of 1, indicating it may have multiple responsibilities."
group02,group02.backend.routes,vote_routes,Multifaceted abstraction,vote_routes,1,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\routes\vote_routes.py,"Class 'vote_routes' has a high LCOM value of 1, indicating it may have multiple responsibilities."
group02,group02.backend.test,test_base,Broken modularization,TestConfig,15,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\test\test_base.py,Class 'TestConfig' contains only data members without any method implementations.
group02,group02.backend.test,test_base,Multifaceted abstraction,DatabaseTestCase,26,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\test\test_base.py,"Class 'DatabaseTestCase' has a high LCOM value of 1, indicating it may have multiple responsibilities."
group02,group02.backend.test,test_base,Multifaceted abstraction,TestDataCreation,101,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\test\test_base.py,"Class 'TestDataCreation' has a high LCOM value of 1, indicating it may have multiple responsibilities."
group02,group02.backend.test,test_base,Wide hierarchy,DatabaseTestCase,0,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\test\test_base.py,Class 'DatabaseTestCase' has a wide hierarchy with 7 direct subclasses.
